episode,score,global_step,avg_loss,step
0,1.0,151,0.0,151
1,0.0,246,0.0,95
2,0.0,349,0.0,103
3,2.0,579,0.0,230
4,0.0,700,0.0,121
5,0.0,810,0.0,110
6,2.0,1024,0.0,214
7,0.0,1128,0.0,104
8,1.0,1301,0.0,173
9,3.0,1527,0.0,226
10,0.0,1667,0.0,140
11,3.0,1916,0.0,249
12,1.0,2090,0.0,174
13,1.0,2262,0.0,172
14,2.0,2469,0.0,207
15,2.0,2643,0.0,174
16,1.0,2787,0.0,144
17,0.0,2906,0.0,119
18,2.0,3078,0.0,172
19,2.0,3261,0.0,183
20,3.0,3502,0.0,241
21,0.0,3619,0.0,117
22,0.0,3749,0.0,130
23,0.0,3862,0.0,113
24,2.0,4066,0.0,204
25,1.0,4242,0.0,176
26,1.0,4401,0.0,159
27,1.0,4557,0.0,156
28,3.0,4798,0.0,241
29,0.0,4917,0.0,119
30,0.0,5020,0.0,103
31,0.0,5144,0.0,124
32,1.0,5305,0.0,161
33,2.0,5515,0.0,210
34,0.0,5635,0.0,120
35,0.0,5747,0.0,112
36,3.0,5952,0.0,205
37,3.0,6194,0.0,242
38,0.0,6299,0.0,105
39,1.0,6456,0.0,157
40,0.0,6583,0.0,127
41,2.0,6760,0.0,177
42,2.0,6932,0.0,172
43,3.0,7165,0.0,233
44,4.0,7442,0.0,277
45,3.0,7663,0.0,221
46,0.0,7768,0.0,105
47,0.0,7897,0.0,129
48,2.0,8117,0.0,220
49,0.0,8231,0.0,114
50,0.0,8344,0.0,113
51,2.0,8560,0.0,216
52,0.0,8685,0.0,125
53,4.0,8961,0.0,276
54,2.0,9177,0.0,216
55,0.0,9306,0.0,129
56,2.0,9517,0.0,211
57,1.0,9687,0.0,170
58,1.0,9820,0.0,133
59,1.0,9979,0.0,159
60,0.0,10112,0.0,133
61,0.0,10211,0.0,99
62,1.0,10348,0.0,137
63,1.0,10505,0.0,157
64,0.0,10621,0.0,116
65,0.0,10719,0.0,98
66,2.0,10912,0.0,193
67,0.0,11032,0.0,120
68,1.0,11204,0.0,172
69,2.0,11391,0.0,187
70,3.0,11630,0.0,239
71,0.0,11742,0.0,112
72,3.0,11972,0.0,230
73,2.0,12159,0.0,187
74,0.0,12270,0.0,111
75,1.0,12425,0.0,155
76,1.0,12566,0.0,141
77,1.0,12732,0.0,166
78,2.0,12953,0.0,221
79,1.0,13118,0.0,165
80,1.0,13290,0.0,172
81,1.0,13470,0.0,180
82,0.0,13596,0.0,126
83,0.0,13706,0.0,110
84,1.0,13857,0.0,151
85,3.0,14119,0.0,262
86,0.0,14228,0.0,109
87,2.0,14416,0.0,188
88,2.0,14586,0.0,170
89,1.0,14731,0.0,145
90,0.0,14835,0.0,104
91,3.0,15054,0.0,219
92,0.0,15159,0.0,105
93,0.0,15280,0.0,121
94,0.0,15404,0.0,124
95,1.0,15566,0.0,162
96,4.0,15848,0.0,282
97,1.0,15992,0.0,144
98,2.0,16214,0.0,222
99,0.0,16323,0.0,109
100,0.0,16443,0.0,120
101,1.0,16594,0.0,151
102,1.0,16734,0.0,140
103,1.0,16874,0.0,140
104,1.0,16998,0.0,124
105,1.0,17150,0.0,152
106,2.0,17330,0.0,180
107,0.0,17448,0.0,118
108,0.0,17548,0.0,100
109,2.0,17744,0.0,196
110,2.0,17927,0.0,183
111,1.0,18074,0.0,147
112,3.0,18336,0.0,262
113,0.0,18433,0.0,97
114,2.0,18604,0.0,171
115,2.0,18787,0.0,183
116,2.0,19003,0.0,216
117,2.0,19200,0.0,197
118,0.0,19302,0.0,102
119,1.0,19453,0.0,151
120,0.0,19558,0.0,105
121,0.0,19676,0.0,118
122,2.0,19864,0.0,188
123,1.0,20022,0.0,158
124,0.0,20146,0.0,124
125,2.0,20319,0.0,173
126,1.0,20467,0.0,148
127,3.0,20721,0.0,254
128,0.0,20848,0.0,127
129,1.0,20979,0.0,131
130,0.0,21099,0.0,120
131,2.0,21311,0.0,212
132,1.0,21459,0.0,148
133,2.0,21655,0.0,196
134,1.0,21801,0.0,146
135,1.0,21947,0.0,146
136,0.0,22042,0.0,95
137,1.0,22178,0.0,136
138,0.0,22302,0.0,124
139,1.0,22466,0.0,164
140,3.0,22736,0.0,270
141,0.0,22845,0.0,109
142,0.0,22979,0.0,134
143,0.0,23084,0.0,105
144,1.0,23226,0.0,142
145,0.0,23330,0.0,104
146,0.0,23445,0.0,115
147,2.0,23631,0.0,186
148,2.0,23832,0.0,201
149,0.0,23944,0.0,112
150,0.0,24068,0.0,124
151,0.0,24161,0.0,93
152,3.0,24392,0.0,231
153,1.0,24569,0.0,177
154,1.0,24743,0.0,174
155,3.0,24983,0.0,240
156,3.0,25187,0.0,204
157,3.0,25433,0.0,246
158,1.0,25604,0.0,171
159,2.0,25805,0.0,201
160,4.0,26085,0.0,280
161,0.0,26193,0.0,108
162,2.0,26387,0.0,194
163,0.0,26490,0.0,103
164,0.0,26587,0.0,97
165,3.0,26798,0.0,211
166,0.0,26922,0.0,124
167,1.0,27056,0.0,134
168,0.0,27165,0.0,109
169,1.0,27329,0.0,164
170,3.0,27583,0.0,254
171,2.0,27784,0.0,201
