episode,score,global_step,avg_loss,step
0,3.0,215,0.0,215
1,2.0,412,0.0,197
2,2.0,599,0.0,187
3,0.0,708,0.0,109
4,0.0,806,0.0,98
5,0.0,919,0.0,113
6,0.0,1022,0.0,103
7,2.0,1236,0.0,214
8,2.0,1418,0.0,182
9,0.0,1521,0.0,103
10,0.0,1645,0.0,124
11,0.0,1754,0.0,109
12,5.0,2046,0.0,292
13,3.0,2263,0.0,217
14,1.0,2415,0.0,152
15,2.0,2634,0.0,219
16,1.0,2796,0.0,162
17,1.0,2937,0.0,141
18,4.0,3248,0.0,311
19,2.0,3428,0.0,180
20,2.0,3631,0.0,203
21,0.0,3733,0.0,102
22,3.0,3969,0.0,236
23,1.0,4114,0.0,145
24,1.0,4263,0.0,149
25,2.0,4460,0.0,197
26,5.0,4792,0.0,332
27,1.0,4937,0.0,145
28,3.0,5144,0.0,207
29,0.0,5263,0.0,119
30,2.0,5417,0.0,154
31,1.0,5566,0.0,149
32,1.0,5734,0.0,168
33,1.0,5899,0.0,165
34,1.0,6041,0.0,142
35,3.0,6261,0.0,220
36,0.0,6383,0.0,122
37,0.0,6507,0.0,124
38,0.0,6613,0.0,106
39,0.0,6725,0.0,112
40,2.0,6928,0.0,203
41,3.0,7154,0.0,226
42,2.0,7351,0.0,197
43,3.0,7574,0.0,223
44,4.0,7820,0.0,246
45,0.0,7932,0.0,112
46,0.0,8062,0.0,130
47,0.0,8182,0.0,120
48,0.0,8292,0.0,110
49,2.0,8483,0.0,191
50,6.0,8833,0.0,350
51,0.0,8957,0.0,124
52,0.0,9055,0.0,98
53,0.0,9180,0.0,125
54,1.0,9318,0.0,138
55,2.0,9523,0.0,205
56,6.0,9835,0.0,312
57,1.0,9984,0.0,149
58,2.0,10174,0.0,190
59,1.0,10296,0.0,122
60,2.0,10494,0.0,198
61,2.0,10705,0.0,211
62,0.0,10836,0.0,131
63,0.0,10956,0.0,120
64,2.0,11155,0.0,199
65,3.0,11381,0.0,226
66,0.0,11507,0.0,126
67,2.0,11701,0.0,194
68,1.0,11828,0.0,127
69,0.0,11935,0.0,107
70,0.0,12057,0.0,122
71,1.0,12225,0.0,168
72,0.0,12342,0.0,117
73,0.0,12466,0.0,124
74,4.0,12714,0.0,248
75,0.0,12807,0.0,93
76,2.0,12961,0.0,154
77,2.0,13140,0.0,179
78,1.0,13302,0.0,162
79,1.0,13470,0.0,168
80,2.0,13667,0.0,197
81,0.0,13768,0.0,101
82,2.0,13951,0.0,183
83,1.0,14107,0.0,156
84,2.0,14305,0.0,198
85,2.0,14485,0.0,180
86,0.0,14592,0.0,107
87,2.0,14773,0.0,181
88,0.0,14879,0.0,106
89,1.0,15036,0.0,157
90,1.0,15176,0.0,140
91,2.0,15378,0.0,202
92,1.0,15519,0.0,141
93,0.0,15642,0.0,123
94,0.0,15748,0.0,106
95,2.0,15923,0.0,175
96,1.0,16064,0.0,141
97,1.0,16220,0.0,156
98,1.0,16375,0.0,155
99,0.0,16478,0.0,103
