episode,score,global_step,avg_loss,step
212,1.0,34582,0.0,157
213,0.0,34696,0.0,114
214,2.0,34868,0.0,172
215,1.0,35016,0.0,148
216,0.0,35127,0.0,111
217,1.0,35272,0.0,145
218,2.0,35446,0.0,174
219,0.0,35560,0.0,114
220,1.0,35731,0.0,171
221,0.0,35847,0.0,116
222,3.0,36059,0.0,212
223,4.0,36332,0.0,273
224,1.0,36495,0.0,163
225,1.0,36661,0.0,166
226,0.0,36772,0.0,111
227,1.0,36941,0.0,169
228,1.0,37111,0.0,170
229,0.0,37222,0.0,111
230,0.0,37319,0.0,97
231,0.0,37432,0.0,113
232,1.0,37576,0.0,144
233,2.0,37781,0.0,205
234,1.0,37932,0.0,151
235,2.0,38140,0.0,208
236,2.0,38343,0.0,203
237,5.0,38635,0.0,292
238,1.0,38778,0.0,143
239,0.0,38890,0.0,112
240,2.0,39078,0.0,188
241,0.0,39188,0.0,110
242,2.0,39411,0.0,223
243,1.0,39566,0.0,155
244,3.0,39796,0.0,230
245,1.0,39962,0.0,166
246,2.0,40182,0.0,220
247,0.0,40296,0.0,114
248,2.0,40470,0.0,174
249,0.0,40563,0.0,93
250,3.0,40801,0.0,238
251,1.0,40957,0.0,156
252,1.0,41108,0.0,151
253,0.0,41231,0.0,123
254,0.0,41331,0.0,100
255,2.0,41497,0.0,166
256,2.0,41703,0.0,206
257,2.0,41897,0.0,194
258,2.0,42080,0.0,183
259,1.0,42233,0.0,153
260,1.0,42372,0.0,139
261,1.0,42527,0.0,155
262,3.0,42761,0.0,234
263,0.0,42880,0.0,119
264,1.0,43023,0.0,143
265,4.0,43330,0.0,307
266,2.0,43519,0.0,189
267,0.0,43637,0.0,118
268,1.0,43789,0.0,152
269,3.0,44014,0.0,225
270,0.0,44133,0.0,119
271,0.0,44252,0.0,119
272,1.0,44393,0.0,141
273,0.0,44512,0.0,119
274,2.0,44704,0.0,192
275,1.0,44880,0.0,176
276,0.0,44980,0.0,100
277,0.0,45098,0.0,118
278,2.0,45278,0.0,180
279,2.0,45459,0.0,181
280,2.0,45670,0.0,211
281,4.0,45962,0.0,292
282,2.0,46148,0.0,186
283,1.0,46270,0.0,122
284,1.0,46426,0.0,156
285,2.0,46637,0.0,211
286,2.0,46823,0.0,186
287,4.0,47084,0.0,261
288,4.0,47399,0.0,315
289,0.0,47513,0.0,114
290,1.0,47655,0.0,142
291,0.0,47772,0.0,117
292,0.0,47889,0.0,117
293,0.0,47993,0.0,104
294,0.0,48121,0.0,128
295,1.0,48268,0.0,147
296,0.0,48388,0.0,120
297,0.0,48492,0.0,104
298,0.0,48607,0.0,115
299,1.0,48760,0.0,153
300,2.0,48955,0.0,195
301,3.0,49167,0.0,212
302,1.0,49322,0.0,155
303,1.0,49494,0.0,172
304,1.0,49646,0.0,152
305,1.0,49796,0.0,150
306,0.0,49902,0.0,106
307,1.0,50061,0.0022957856597044294,159
308,1.0,50219,0.006056916288035966,158
309,0.0,50337,0.0066700119751904995,118
310,3.0,50566,0.005437304996056845,229
311,2.0,50772,0.004821953955274473,206
312,1.0,50934,0.004358384161251807,162
313,1.0,51112,0.0038479542276664697,178
314,1.0,51266,0.0037514404068470075,154
