episode,score,global_step,avg_loss,step
0,2.0,190,0.0,190
1,0.0,301,0.0,111
2,0.0,427,0.0,126
3,1.0,590,0.0,163
4,3.0,834,0.0,244
5,0.0,949,0.0,115
6,0.0,1068,0.0,119
7,0.0,1180,0.0,112
8,0.0,1290,0.0,110
9,0.0,1393,0.0,103
10,3.0,1618,0.0,225
11,1.0,1749,0.0,131
12,2.0,1942,0.0,193
13,0.0,2050,0.0,108
14,5.0,2390,0.0,340
15,1.0,2537,0.0,147
16,2.0,2755,0.0,218
17,1.0,2913,0.0,158
18,0.0,3023,0.0,110
19,1.0,3166,0.0,143
20,0.0,3293,0.0,127
21,1.0,3448,0.0,155
22,2.0,3642,0.0,194
23,1.0,3791,0.0,149
24,2.0,3988,0.0,197
25,1.0,4147,0.0,159
26,2.0,4333,0.0,186
27,0.0,4443,0.0,110
28,2.0,4659,0.0,216
29,1.0,4839,0.0,180
30,0.0,4933,0.0,94
31,0.0,5044,0.0,111
32,2.0,5228,0.0,184
33,2.0,5398,0.0,170
34,0.0,5511,0.0,113
35,2.0,5703,0.0,192
36,1.0,5856,0.0,153
37,1.0,6020,0.0,164
38,0.0,6131,0.0,111
39,2.0,6301,0.0,170
40,2.0,6495,0.0,194
41,0.0,6601,0.0,106
42,3.0,6801,0.0,200
43,0.0,6920,0.0,119
44,3.0,7141,0.0,221
45,0.0,7261,0.0,120
46,1.0,7394,0.0,133
47,2.0,7571,0.0,177
48,2.0,7771,0.0,200
49,2.0,7978,0.0,207
50,3.0,8179,0.0,201
51,1.0,8340,0.0,161
52,2.0,8533,0.0,193
53,0.0,8652,0.0,119
54,2.0,8829,0.0,177
55,1.0,8962,0.0,133
56,0.0,9063,0.0,101
57,1.0,9220,0.0,157
58,1.0,9355,0.0,135
59,5.0,9658,0.0,303
60,1.0,9797,0.0,139
61,0.0,9909,0.0,112
62,1.0,10052,0.0,143
63,0.0,10166,0.0,114
64,2.0,10377,0.0,211
65,2.0,10546,0.0,169
66,2.0,10752,0.0,206
67,0.0,10876,0.0,124
68,2.0,11058,0.0,182
69,0.0,11157,0.0,99
70,2.0,11362,0.0,205
71,0.0,11475,0.0,113
72,1.0,11617,0.0,142
73,0.0,11745,0.0,128
74,0.0,11860,0.0,115
75,1.0,12000,0.0,140
76,0.0,12116,0.0,116
77,3.0,12370,0.0,254
78,2.0,12584,0.0,214
79,1.0,12726,0.0,142
80,1.0,12868,0.0,142
81,2.0,13068,0.0,200
82,0.0,13190,0.0,122
83,1.0,13333,0.0,143
84,1.0,13495,0.0,162
85,0.0,13600,0.0,105
86,2.0,13795,0.0,195
87,1.0,13965,0.0,170
88,1.0,14114,0.0,149
89,3.0,14334,0.0,220
90,1.0,14484,0.0,150
91,2.0,14676,0.0,192
92,0.0,14786,0.0,110
93,3.0,15009,0.0,223
94,0.0,15102,0.0,93
95,1.0,15260,0.0,158
96,0.0,15364,0.0,104
97,0.0,15475,0.0,111
98,1.0,15631,0.0,156
99,1.0,15782,0.0,151
100,2.0,15985,0.0,203
101,0.0,16112,0.0,127
102,2.0,16314,0.0,202
103,3.0,16533,0.0,219
104,0.0,16646,0.0,113
105,0.0,16778,0.0,132
106,2.0,16961,0.0,183
107,3.0,17211,0.0,250
108,1.0,17333,0.0,122
109,0.0,17435,0.0,102
110,0.0,17558,0.0,123
111,0.0,17661,0.0,103
112,1.0,17811,0.0,150
113,3.0,18046,0.0,235
114,4.0,18322,0.0,276
115,0.0,18446,0.0,124
116,3.0,18665,0.0,219
117,1.0,18793,0.0,128
118,1.0,18956,0.0,163
119,1.0,19122,0.0,166
120,0.0,19219,0.0,97
121,1.0,19346,0.0,127
122,1.0,19472,0.0,126
123,0.0,19570,0.0,98
124,1.0,19745,0.0,175
125,1.0,19923,0.0,178
126,2.0,20127,0.0,204
127,1.0,20279,0.0,152
128,1.0,20411,0.0,132
129,4.0,20685,0.0,274
130,0.0,20799,0.0,114
131,0.0,20915,0.0,116
132,0.0,21020,0.0,105
133,0.0,21141,0.0,121
134,3.0,21405,0.0,264
135,1.0,21551,0.0,146
136,4.0,21790,0.0,239
137,1.0,21933,0.0,143
138,0.0,22031,0.0,98
139,0.0,22160,0.0,129
140,2.0,22369,0.0,209
141,2.0,22552,0.0,183
142,2.0,22747,0.0,195
143,3.0,22998,0.0,251
144,0.0,23124,0.0,126
145,0.0,23241,0.0,117
146,1.0,23394,0.0,153
147,2.0,23579,0.0,185
148,1.0,23725,0.0,146
149,0.0,23842,0.0,117
150,2.0,24039,0.0,197
151,2.0,24235,0.0,196
152,2.0,24415,0.0,180
